filename,row href
alcremie-ruby-cream-berry.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-ruby-cream-berry.gif
alcremie-ruby-cream-clover.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-ruby-cream-clover.gif
alcremie-ruby-cream-flower.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-ruby-cream-flower.gif
alcremie-ruby-cream-love.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-ruby-cream-love.gif
alcremie-ruby-cream-ribbon.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-ruby-cream-ribbon.gif
alcremie-ruby-cream-star.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-ruby-cream-star.gif
alcremie-ruby-swirl-berry.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-ruby-swirl-berry.gif
alcremie-ruby-swirl-clover.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-ruby-swirl-clover.gif
alcremie-ruby-swirl-flower.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-ruby-swirl-flower.gif
alcremie-ruby-swirl-love.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-ruby-swirl-love.gif
alcremie-ruby-swirl-ribbon.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-ruby-swirl-ribbon.gif
alcremie-ruby-swirl-star.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-ruby-swirl-star.gif
alcremie-rubycream-berry.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rubycream-berry.gif
alcremie-rubycream-clover.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rubycream-clover.gif
alcremie-rubycream-flower.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rubycream-flower.gif
alcremie-rubycream-love.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rubycream-love.gif
alcremie-rubycream-ribbon.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rubycream-ribbon.gif
alcremie-rubycream-star.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rubycream-star.gif
alcremie-rubycream.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rubycream.gif
alcremie-rubyswirl-berry.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rubyswirl-berry.gif
alcremie-rubyswirl-clover.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rubyswirl-clover.gif
alcremie-rubyswirl-flower.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rubyswirl-flower.gif
alcremie-rubyswirl-love.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rubyswirl-love.gif
alcremie-rubyswirl-ribbon.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rubyswirl-ribbon.gif
alcremie-rubyswirl-star.gif,https://play.pokemonshowdown.com/sprites/ani/alcremie-rubyswirl-star.gif
